uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedBy,remarks,genomicsDataQF
"81513c22-b873-4cef-b094-9e4c7c6c7c0b","D19","BONA","BONA_001","BONA_001.basePlot.bgc","2023-07-10T18:53Z","2023-07-10T20:17Z","BONA.peakGreenness.2023","NEON.DOC.014048vO","BONA_001-O-41-20230710|BONA_001-O-23-20230710|BONA_001-O-39-20230710","BONA_001-O-20230710-COMP","B00000173365","OK","0000-0002-0123-6184",,
"8f038051-9c28-4d36-bf9c-975e6835c56a","D19","BONA","BONA_013","BONA_013.basePlot.bgc","2023-07-10T19:54Z","2023-07-10T20:47Z","BONA.peakGreenness.2023","NEON.DOC.014048vO","BONA_013-O-39-20230710|BONA_013-O-21-20230710|BONA_013-O-23-20230710","BONA_013-O-20230710-COMP","B00000173370","OK","0000-0002-0123-6184",,
"5c0a0c7a-353a-4071-9c23-51ba278ec970","D19","BONA","BONA_006","BONA_006.basePlot.bgc","2023-07-10T22:49Z","2023-07-10T23:55Z","BONA.peakGreenness.2023","NEON.DOC.014048vO","BONA_006-O-39-20230710|BONA_006-O-41-20230710|BONA_006-O-23-20230710","BONA_006-O-20230710-COMP","B00000173367","OK","0000-0002-0123-6184",,
"40b1d8be-0c46-4223-9a18-f97301e808b5","D19","BONA","BONA_009","BONA_009.basePlot.bgc","2023-07-11T18:28Z","2023-07-11T19:11Z","BONA.peakGreenness.2023","NEON.DOC.014048vO","BONA_009-O-23-20230711|BONA_009-O-41-20230711|BONA_009-O-39-20230711","BONA_009-O-20230711-COMP","B00000173369","OK","0000-0002-0123-6184",,
"e92a3097-3f77-4764-9ba1-42e1171fc494","D19","BONA","BONA_002","BONA_002.basePlot.bgc","2023-07-11T20:17Z","2023-07-11T21:11Z","BONA.peakGreenness.2023","NEON.DOC.014048vO","BONA_002-O-23-20230711|BONA_002-O-41-20230711|BONA_002-O-21-20230711","BONA_002-O-20230711-COMP","B00000173368","OK","0000-0002-0123-6184",,
"dd309534-0bdb-4b5e-ae15-80190c75ab27","D19","BONA","BONA_071","BONA_071.basePlot.bgc","2023-07-11T22:31Z","2023-07-11T23:06Z","BONA.peakGreenness.2023","NEON.DOC.014048vO","BONA_071-O-21-20230711|BONA_071-O-39-20230711|BONA_071-O-41-20230711","BONA_071-O-20230711-COMP","B00000173372","OK","0000-0002-0123-6184",,
"e469e45d-8e77-468d-a682-89c91fe5e382","D19","BONA","BONA_004","BONA_004.basePlot.bgc","2023-07-12T18:24Z","2023-07-12T19:21Z","BONA.peakGreenness.2023","NEON.DOC.014048vO","BONA_004-O-23-20230712|BONA_004-O-39-20230712|BONA_004-O-41-20230712","BONA_004-O-20230712-COMP","B00000173366","OK","0009-0002-9286-7877",,
"95cab880-bf42-4f16-ad4a-f2b7b7a6b2c5","D19","BONA","BONA_070","BONA_070.basePlot.bgc","2023-07-12T20:52Z","2023-07-12T21:57Z","BONA.peakGreenness.2023","NEON.DOC.014048vO","BONA_070-O-39-20230712|BONA_070-O-21-20230712|BONA_070-O-23-20230712","BONA_070-O-20230712-COMP","B00000173371","OK","0009-0002-9286-7877",,
"df66bc8f-893e-43bf-a45a-8856920d8460","D19","BONA","BONA_084","BONA_084.basePlot.bgc","2023-07-13T17:41Z","2023-07-14T19:41Z","BONA.peakGreenness.2023","NEON.DOC.014048vO","BONA_084-O-21-20230713|BONA_084-O-39-20230713|BONA_084-O-41-20230714","BONA_084-O-20230713-COMP","B00000173374","OK","0009-0002-9286-7877",,
"ce01fc30-01fe-48e1-9f0a-18f728b33cc2","D19","BONA","BONA_080","BONA_080.basePlot.bgc","2023-07-13T19:32Z","2023-07-14T20:36Z","BONA.peakGreenness.2023","NEON.DOC.014048vO","BONA_080-O-23-20230714|BONA_080-O-39-20230714|BONA_080-O-41-20230713","BONA_080-O-20230713-COMP","B00000173373","OK","0009-0002-9286-7877",,
