uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF
"209a170c-ac68-4528-905e-18a835f6f903","D18","TOOL","TOOL_041","TOOL_041.basePlot.bgc","2021-08-03T18:52Z","2021-08-03T18:52Z","2021-09-22","TOOL_041-O-14-1-20210803",,"TOOL_041-O-14-1-20210803-PH","NEON.DOC.014048vN","O",5.66,5.01,3.0,40.0,13.3,3.0,80.0,26.6,,"0000-0002-3309-2269",
"87ef9d76-ba50-477d-8e1b-f058e3eba3ea","D18","TOOL","TOOL_041","TOOL_041.basePlot.bgc","2021-08-03T19:11Z","2021-08-03T19:11Z","2021-09-22","TOOL_041-O-8-38.5-20210803",,"TOOL_041-O-8-38.5-20210803-PH","NEON.DOC.014048vN","O",4.99,4.88,3.0,60.0,19.8,3.0,120.0,39.6,,"0000-0002-3309-2269",
"daab52f4-6b00-4ff1-971f-6b6cb6ce35e3","D18","TOOL","TOOL_041","TOOL_041.basePlot.bgc","2021-08-03T19:26Z","2021-08-03T19:26Z","2021-09-22","TOOL_041-O-34.5-39-20210803",,"TOOL_041-O-34.5-39-20210803-PH","NEON.DOC.014048vN","O",7.46,6.83,3.0,80.0,26.7,3.0,160.0,53.3,,"0000-0002-3309-2269",
"f159f5ac-8f74-4c69-9479-4ef062126e7b","D18","TOOL","TOOL_043","TOOL_043.basePlot.bgc","2021-08-03T20:12Z","2021-08-03T20:12Z","2021-09-22","TOOL_043-O-33.5-25-20210803",,"TOOL_043-O-33.5-25-20210803-PH","NEON.DOC.014048vN","O",4.69,4.25,3.0,100.0,33.3,3.0,200.0,66.7,,"0000-0002-3309-2269",
"011abeee-e63b-4c1e-981a-7f8c3f3b4be9","D18","TOOL","TOOL_043","TOOL_043.basePlot.bgc","2021-08-03T20:28Z","2021-08-03T20:28Z","2021-09-22","TOOL_043-O-33.5-13.5-20210803",,"TOOL_043-O-33.5-13.5-20210803-PH","NEON.DOC.014048vN","O",5.03,4.00,2.0,80.0,39.8,2.0,160.0,79.6,,"0000-0002-3309-2269",
"ef826c48-ffa5-4fbc-b816-2094c1897e43","D18","TOOL","TOOL_043","TOOL_043.basePlot.bgc","2021-08-03T20:42Z","2021-08-03T20:42Z","2021-09-22","TOOL_043-O-2.5-10-20210803",,"TOOL_043-O-2.5-10-20210803-PH","NEON.DOC.014048vN","O",5.86,4.55,2.0,60.0,29.7,2.0,120.0,59.4,,"0000-0002-3309-2269",
"712d37d3-c9fc-4390-be8b-554c84ef3665","D18","TOOL","TOOL_042","TOOL_042.basePlot.bgc","2021-08-03T21:27Z","2021-08-03T21:27Z","2021-09-22","TOOL_042-O-39.5-32-20210803",,"TOOL_042-O-39.5-32-20210803-PH","NEON.DOC.014048vN","O",5.66,4.41,3.0,80.0,26.7,3.0,160.0,53.3,,"0000-0002-3309-2269",
"6bd7c73a-d934-4bb4-9e11-050d5325974f","D18","TOOL","TOOL_042","TOOL_042.basePlot.bgc","2021-08-03T21:42Z","2021-08-03T21:42Z","2021-09-22","TOOL_042-O-5.5-29.5-20210803",,"TOOL_042-O-5.5-29.5-20210803-PH","NEON.DOC.014048vN","O",5.35,4.35,3.0,80.0,26.6,3.0,160.0,53.2,,"0000-0002-3309-2269",
"17595b39-1e21-4f70-86d9-f98f553887d1","D18","TOOL","TOOL_042","TOOL_042.basePlot.bgc","2021-08-03T22:00Z","2021-08-03T22:00Z","2021-09-22","TOOL_042-O-14-9-20210803",,"TOOL_042-O-14-9-20210803-PH","NEON.DOC.014048vN","O",5.15,5.04,3.0,60.0,19.9,3.0,120.0,39.9,,"0000-0002-3309-2269",
"8c3d75ba-beef-498c-b015-3e850e4062f0","D18","TOOL","TOOL_044","TOOL_044.basePlot.bgc","2021-08-03T23:01Z","2021-08-03T23:01Z","2021-09-22","TOOL_044-O-21-33.5-20210803",,"TOOL_044-O-21-33.5-20210803-PH","NEON.DOC.014048vN","O",5.84,5.30,3.0,40.0,13.3,3.0,80.0,26.6,,"0000-0002-3309-2269",
"9ba06da1-b892-4e7f-b942-0a005d72a5e8","D18","TOOL","TOOL_044","TOOL_044.basePlot.bgc","2021-08-03T23:21Z","2021-08-03T23:21Z","2021-09-22","TOOL_044-O-26.5-9.5-20210803",,"TOOL_044-O-26.5-9.5-20210803-PH","NEON.DOC.014048vN","O",5.78,5.39,3.0,40.0,13.3,3.0,80.0,26.7,,"0000-0002-3309-2269",
"76ddaac9-155e-4bae-b7e4-5d926232a6d6","D18","TOOL","TOOL_044","TOOL_044.basePlot.bgc","2021-08-03T23:46Z","2021-08-03T23:46Z","2021-09-22","TOOL_044-O-16-4-20210803",,"TOOL_044-O-16-4-20210803-PH","NEON.DOC.014048vN","O",4.82,4.74,3.0,100.0,33.3,3.0,200.0,66.7,,"0000-0002-3309-2269",
"a2fd3403-6fd5-42bf-b6b0-bb5f9b6cc458","D18","TOOL","TOOL_006","TOOL_006.basePlot.bgc","2021-08-04T19:01Z","2021-08-04T19:01Z","2021-09-22","TOOL_006-O-14.5-33.5-20210804",,"TOOL_006-O-14.5-33.5-20210804-PH","NEON.DOC.014048vN","O",5.83,5.19,3.0,60.0,20.0,3.0,120.0,40.0,,"0000-0002-3309-2269",
"3cc76541-e072-46be-9b6f-abe90c412d64","D18","TOOL","TOOL_006","TOOL_006.basePlot.bgc","2021-08-04T19:20Z","2021-08-04T19:20Z","2021-09-22","TOOL_006-O-30-10.5-20210804",,"TOOL_006-O-30-10.5-20210804-PH","NEON.DOC.014048vN","O",5.63,4.68,3.0,80.0,26.7,3.0,160.0,53.3,,"0000-0002-3309-2269",
"f6d80240-0560-47c8-9fa2-c5735a4cbe8c","D18","TOOL","TOOL_002","TOOL_002.basePlot.bgc","2021-08-04T21:21Z","2021-08-04T21:21Z","2021-09-22","TOOL_002-O-14-31-20210804",,"TOOL_002-O-14-31-20210804-PH","NEON.DOC.014048vN","O",5.45,5.35,3.0,80.0,26.4,3.0,160.0,52.8,,"0000-0002-3309-2269",
"b939a68e-2891-451f-a298-cdc01116b65c","D18","TOOL","TOOL_002","TOOL_002.basePlot.bgc","2021-08-04T21:45Z","2021-08-04T21:45Z","2021-09-22","TOOL_002-O-18-9-20210804",,"TOOL_002-O-18-9-20210804-PH","NEON.DOC.014048vN","O",5.05,5.48,3.0,60.0,20.0,3.0,120.0,40.0,,"0000-0002-3309-2269",
"81470273-7625-495a-82e6-7e97e07055cd","D18","TOOL","TOOL_002","TOOL_002.basePlot.bgc","2021-08-04T21:55Z","2021-08-04T21:55Z","2021-09-22","TOOL_002-O-39-19.5-20210804",,"TOOL_002-O-39-19.5-20210804-PH","NEON.DOC.014048vN","O",5.80,5.43,3.0,80.0,26.7,3.0,160.0,53.3,,"0000-0002-3309-2269",
"11a068e5-827d-4ea9-9155-f90313f01903","D18","TOOL","TOOL_001","TOOL_001.basePlot.bgc","2021-08-05T00:16Z","2021-08-05T00:16Z","2021-09-22","TOOL_001-O-33-13-20210804",,"TOOL_001-O-33-13-20210804-PH","NEON.DOC.014048vN","O",4.57,4.03,3.0,60.0,19.8,3.0,120.0,39.6,,"0000-0002-3309-2269",
"dd6e795f-67ec-4584-ba37-5ec75baa5168","D18","TOOL","TOOL_001","TOOL_001.basePlot.bgc","2021-08-05T00:40Z","2021-08-05T00:40Z","2021-09-22","TOOL_001-O-20-35.5-20210804",,"TOOL_001-O-20-35.5-20210804-PH","NEON.DOC.014048vN","O",4.92,4.68,3.0,80.0,26.8,3.0,160.0,53.5,,"0000-0002-3309-2269",
"ec961cd1-9652-42aa-8aeb-1ad6d12a0c16","D18","TOOL","TOOL_001","TOOL_001.basePlot.bgc","2021-08-05T00:52Z","2021-08-05T00:52Z","2021-09-22","TOOL_001-O-19-34.5-20210804",,"TOOL_001-O-19-34.5-20210804-PH","NEON.DOC.014048vN","O",4.43,4.25,3.0,80.0,26.7,3.0,160.0,53.3,,"0000-0002-3309-2269",
"6ea18b77-167f-4005-8186-df85fdb46e9c","D18","TOOL","TOOL_006","TOOL_006.basePlot.bgc","2021-08-05T06:46Z","2021-08-05T06:46Z","2021-09-22","TOOL_006-O-1-18.5-20210804",,"TOOL_006-O-1-18.5-20210804-PH","NEON.DOC.014048vN","O",6.17,5.90,3.0,100.0,33.4,3.0,200.0,66.9,,"0000-0002-3309-2269",
"c8d5cef8-7652-4e65-98c3-4235140e2729","D18","TOOL","TOOL_004","TOOL_004.basePlot.bgc","2021-08-05T18:41Z","2021-08-05T18:41Z","2021-09-22","TOOL_004-O-1-11-20210805",,"TOOL_004-O-1-11-20210805-PH","NEON.DOC.014048vN","O",4.67,3.96,3.0,100.0,33.1,3.0,200.0,66.2,,"0000-0002-3309-2269",
"504380a9-251e-4717-af48-0f6c18752879","D18","TOOL","TOOL_004","TOOL_004.basePlot.bgc","2021-08-05T18:55Z","2021-08-05T18:55Z","2021-09-22","TOOL_004-O-14.5-39.5-20210805",,"TOOL_004-O-14.5-39.5-20210805-PH","NEON.DOC.014048vN","O",4.89,4.39,3.0,80.0,26.4,3.0,160.0,52.8,,"0000-0002-3309-2269",
"b192fd0b-28d5-474e-b2e5-944310c80bad","D18","TOOL","TOOL_004","TOOL_004.basePlot.bgc","2021-08-05T19:20Z","2021-08-05T19:20Z","2021-09-22","TOOL_004-O-38-28.5-20210805",,"TOOL_004-O-38-28.5-20210805-PH","NEON.DOC.014048vN","O",5.24,4.80,3.0,100.0,33.2,3.0,200.0,66.4,,"0000-0002-3309-2269",
"479aa323-1b45-4d02-bb03-629d44ab91a9","D18","TOOL","TOOL_003","TOOL_003.basePlot.bgc","2021-08-05T23:14Z","2021-08-05T23:14Z","2021-09-22","TOOL_003-O-4.5-4.5-20210805",,"TOOL_003-O-4.5-4.5-20210805-PH","NEON.DOC.014048vN","O",7.49,6.94,3.0,60.0,20.0,3.0,120.0,40.0,,"0000-0002-3309-2269",
"4ec40332-4dfc-452f-9524-7546c5921749","D18","TOOL","TOOL_003","TOOL_003.basePlot.bgc","2021-08-05T23:28Z","2021-08-05T23:28Z","2021-09-22","TOOL_003-O-28.5-39.5-20210805",,"TOOL_003-O-28.5-39.5-20210805-PH","NEON.DOC.014048vN","O",5.79,5.65,3.0,60.0,20.0,3.0,120.0,40.0,,"0000-0002-3309-2269",
"e3bff50d-2d0c-4c7e-870f-6ab19f22288d","D18","TOOL","TOOL_003","TOOL_003.basePlot.bgc","2021-08-05T23:52Z","2021-08-05T23:52Z","2021-09-22","TOOL_003-O-39-6.5-20210805",,"TOOL_003-O-39-6.5-20210805-PH","NEON.DOC.014048vN","O",6.45,5.65,3.0,60.0,19.8,3.0,120.0,39.6,,"0000-0002-3309-2269",
"149c2882-5e98-48ae-b756-b5f0c0af2db7","D18","TOOL","TOOL_005","TOOL_005.basePlot.bgc","2021-08-06T19:13Z","2021-08-06T19:13Z","2021-09-22","TOOL_005-O-0-0.5-20210806",,"TOOL_005-O-0-0.5-20210806-PH","NEON.DOC.014048vN","O",4.79,4.67,3.0,100.0,33.1,3.0,200.0,66.2,,"0000-0002-3309-2269",
"587b3abc-a5ac-4775-a72a-c6c9e720cbfc","D18","TOOL","TOOL_005","TOOL_005.basePlot.bgc","2021-08-06T19:32Z","2021-08-06T19:32Z","2021-09-22","TOOL_005-O-4.5-33.5-20210806",,"TOOL_005-O-4.5-33.5-20210806-PH","NEON.DOC.014048vN","O",4.99,5.00,3.0,80.0,26.7,3.0,160.0,53.3,,"0000-0002-3309-2269",
"6ca87e6a-cd2c-47ed-807d-1d6b250d7302","D18","TOOL","TOOL_005","TOOL_005.basePlot.bgc","2021-08-06T19:53Z","2021-08-06T19:53Z","2021-09-22","TOOL_005-O-21.5-38-20210806",,"TOOL_005-O-21.5-38-20210806-PH","NEON.DOC.014048vN","O",5.07,5.12,3.0,80.0,26.6,3.0,160.0,53.2,,"0000-0002-3309-2269",
