uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF
"4f6c8d9a-71c1-4d4c-ad4d-d38536201db7","D19","HEAL","HEAL_045","HEAL_045.basePlot.bgc","2021-06-22T23:48Z","2021-06-22T23:48Z","2021-08-13","HEAL_045-M-6-10-20210622","A00000307168","HEAL_045-M-6-10-20210622-PH","NEON.DOC.014048vN","M",4.88,4.15,10.0,40.0,4.0,10.0,80.0,8.0,,"0000-0002-3309-2269",
"59ed8d13-2cc9-46be-8b71-aa3432cb7826","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","2021-06-22T23:53Z","2021-06-22T23:53Z","2021-08-11","HEAL_048-O-39-24.5-20210622","A00000307197","HEAL_048-O-39-24.5-20210622-PH","NEON.DOC.014048vN","O",4.60,3.71,5.0,100.0,20.0,5.0,200.0,40.0,,"0000-0002-2117-4697",
"3ec2c0f8-c84e-48ff-b532-d70073a29967","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","2021-06-23T00:19Z","2021-06-23T00:19Z","2021-08-11","HEAL_048-O-2-7.5-20210622","A00000307199","HEAL_048-O-2-7.5-20210622-PH","NEON.DOC.014048vN","O",4.01,4.03,5.0,60.0,12.0,5.0,120.0,24.0,,"0000-0002-2117-4697",
"790b0126-27ce-4217-8040-72f9572052dd","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","2021-06-23T00:19Z","2021-06-23T00:19Z","2021-08-13","HEAL_048-M-2-7.5-20210622","A00000307186","HEAL_048-M-2-7.5-20210622-PH","NEON.DOC.014048vN","M",4.52,3.74,6.0,30.0,5.0,6.0,60.0,10.0,,"0000-0002-3309-2269",
"8e242a1e-55f6-4aa8-a32d-d690db2c671f","D19","HEAL","HEAL_045","HEAL_045.basePlot.bgc","2021-06-23T00:30Z","2021-06-23T00:30Z","2021-08-11","HEAL_045-O-18.5-34-20210622","A00000307166","HEAL_045-O-18.5-34-20210622-PH","NEON.DOC.014048vN","O",4.82,3.47,5.0,100.0,20.0,5.0,200.0,40.0,,"0000-0002-2117-4697",
"a88fd0b8-7ca4-4cf5-a9ef-60a9a75d6307","D19","HEAL","HEAL_045","HEAL_045.basePlot.bgc","2021-06-23T00:55Z","2021-06-23T00:55Z","2021-08-11","HEAL_045-O-20.5-30-20210622","A00000307165","HEAL_045-O-20.5-30-20210622-PH","NEON.DOC.014048vN","O",5.24,3.67,5.0,80.0,16.1,5.0,160.0,32.2,,"0000-0002-2117-4697",
"fdc5689d-538b-4342-90b4-c51e49d2f879","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","2021-06-23T01:01Z","2021-06-23T01:01Z","2021-08-11","HEAL_048-O-9.5-21.5-20210622","A00000307198","HEAL_048-O-9.5-21.5-20210622-PH","NEON.DOC.014048vN","O",3.60,3.35,5.0,100.0,20.0,5.0,200.0,40.0,,"0000-0002-2117-4697",
"5f1b3385-07c2-4f4a-83eb-856afb2da1af","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","2021-06-23T01:01Z","2021-06-23T01:01Z","2021-08-13","HEAL_048-M-9.5-21.5-20210622","A00000307185","HEAL_048-M-9.5-21.5-20210622-PH","NEON.DOC.014048vN","M",4.19,3.68,10.0,80.0,8.0,10.0,160.0,16.0,,"0000-0002-3309-2269",
"d1c7a98a-4561-4029-bdf8-d4ab67949487","D19","HEAL","HEAL_005","HEAL_005.basePlot.bgc","2021-06-23T19:14Z","2021-06-23T19:14Z","2021-08-11","HEAL_005-O-36-25-20210623","A00000307361","HEAL_005-O-36-25-20210623-PH","NEON.DOC.014048vN","O",5.37,4.62,5.0,80.0,16.0,5.0,160.0,32.1,,"0000-0002-2117-4697",
"6878735c-1bbc-4c90-a60d-d276806f05eb","D19","HEAL","HEAL_005","HEAL_005.basePlot.bgc","2021-06-23T19:14Z","2021-06-23T19:14Z","2021-08-13","HEAL_005-M-36-25-20210623","A00000307364","HEAL_005-M-36-25-20210623-PH","NEON.DOC.014048vN","M",5.66,5.12,10.0,30.0,3.0,10.0,60.0,6.0,,"0000-0002-3309-2269",
