uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,sampleID,sampleCode,cnSampleID,cnSampleCode,bgcArchiveID,bgcArchiveCode,bgcArchiveMass,toxicodendronPossible,sampleCondition,bgcRemarks,processedBy,bgcDataQF
"466a20e5-6fa0-43ba-8baf-f53f15d6976e","D19","BONA","BONA_001","BONA_001.basePlot.bgc","2019-08-30T20:07Z","2019-08-30T20:07Z","NEON.DOC.014048vL","M","2019-08-31T20:32Z","2019-09-03T20:37Z","BONA_001-M-28-37.5-20190830","A00000100788","BONA_001-M-28-37.5-20190830-CN","A00000103217","BONA_001-M-28-37.5-20190830-BA","A00000103201",,,"OK",,"0000-0002-2117-4697",
"2cc79c2f-6c13-4b47-b7ed-fcbd5ded0167","D19","BONA","BONA_001","BONA_001.basePlot.bgc","2019-08-30T20:07Z","2019-08-30T20:07Z","NEON.DOC.014048vL","O","2019-08-31T20:39Z","2019-09-03T20:36Z","BONA_001-O-28-37.5-20190830","A00000103286","BONA_001-O-28-37.5-20190830-CN","A00000103220","BONA_001-O-28-37.5-20190830-BA","A00000103200",,,"OK",,"0000-0002-2117-4697",
"618083f6-63d6-4f46-bc6f-b444b3e7e7c4","D19","BONA","BONA_004","BONA_004.basePlot.bgc","2019-08-30T20:52Z","2019-08-30T20:52Z","NEON.DOC.014048vL","O","2019-08-31T20:10Z","2019-09-03T20:41Z","BONA_004-O-23.5-6.5-20190830","A00000100670","BONA_004-O-23.5-6.5-20190830-CN","A00000103208","BONA_004-O-23.5-6.5-20190830-BA","A00000103308",,,"OK",,"0000-0002-2117-4697",
"1a3abe65-85fa-40b1-accc-375474a893ae","D19","BONA","BONA_004","BONA_004.basePlot.bgc","2019-08-30T20:52Z","2019-08-30T20:52Z","NEON.DOC.014048vL","M","2019-08-31T20:11Z","2019-09-03T20:37Z","BONA_004-M-23.5-6.5-20190830","A00000100794","BONA_004-M-23.5-6.5-20190830-CN","A00000103207","BONA_004-M-23.5-6.5-20190830-BA","A00000103309",,,"OK",,"0000-0002-2117-4697",
"76e8f463-b198-4009-be87-e5532777b39d","D19","BONA","BONA_001","BONA_001.basePlot.bgc","2019-08-30T20:58Z","2019-08-30T20:58Z","NEON.DOC.014048vL","O","2019-08-31T20:32Z","2019-09-03T20:37Z","BONA_001-O-15-34-20190830","A00000103287","BONA_001-O-15-34-20190830-CN","A00000103221","BONA_001-O-15-34-20190830-BA","A00000103203",,,"OK",,"0000-0002-2117-4697",
"64220606-98a6-43c2-b94f-e8797fb9c7c6","D19","BONA","BONA_001","BONA_001.basePlot.bgc","2019-08-30T20:58Z","2019-08-30T20:58Z","NEON.DOC.014048vL","M","2019-08-31T20:39Z","2019-09-03T20:36Z","BONA_001-M-15-34-20190830","A00000100789","BONA_001-M-15-34-20190830-CN","A00000103218","BONA_001-M-15-34-20190830-BA","A00000103204",,,"OK",,"0000-0002-2117-4697",
"5de7e99c-7043-4a9c-9ed5-47faeac7966f","D19","BONA","BONA_084","BONA_084.basePlot.bgc","2019-08-30T23:33Z","2019-08-30T23:33Z","NEON.DOC.014048vL","O","2019-08-31T20:15Z","2019-09-03T20:35Z","BONA_084-O-20.5-9.5-20190830","A00000103282","BONA_084-O-20.5-9.5-20190830-CN","A00000103270","BONA_084-O-20.5-9.5-20190830-BA","A00000100661",,,"OK",,"0000-0002-2117-4697",
"bb732a1b-d22f-4c21-816a-c02d86a42953","D19","BONA","BONA_084","BONA_084.basePlot.bgc","2019-08-30T23:33Z","2019-08-30T23:33Z","NEON.DOC.014048vL","M","2019-08-31T20:14Z","2019-09-03T20:37Z","BONA_084-M-20.5-9.5-20190830","A00000100817","BONA_084-M-20.5-9.5-20190830-CN","A00000103268","BONA_084-M-20.5-9.5-20190830-BA","A00000100660",,,"OK",,"0000-0002-2117-4697",
"aa26bcb3-e031-412b-a0ae-907df592a0f1","D19","BONA","BONA_084","BONA_084.basePlot.bgc","2019-08-31T00:26Z","2019-08-31T00:26Z","NEON.DOC.014048vL","M","2019-08-31T20:22Z","2019-09-03T20:37Z","BONA_084-M-13.5-34-20190830","A00000100815","BONA_084-M-13.5-34-20190830-CN","A00000103266","BONA_084-M-13.5-34-20190830-BA","A00000100658",,,"OK",,"0000-0002-2117-4697",
"3620de3e-a625-4f9f-b21d-9e2432c4927b","D19","BONA","BONA_084","BONA_084.basePlot.bgc","2019-08-31T00:26Z","2019-08-31T00:26Z","NEON.DOC.014048vL","O","2019-08-31T20:15Z","2019-09-03T20:35Z","BONA_084-O-13.5-34-20190830","A00000103284","BONA_084-O-13.5-34-20190830-CN","A00000103269","BONA_084-O-13.5-34-20190830-BA","A00000100662",,,"OK",,"0000-0002-2117-4697",
