uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF
"84e72cc6-3de3-4ab6-999d-e4934fbed3ab","D19","DEJU","DEJU_047","DEJU_047.basePlot.bgc","2022-06-06T21:45Z","2022-06-06T21:45Z","DEJU_047-O-41-20220606","A00000309694","DEJU_047-O-41-20220606-SM","NEON.DOC.014048vO","O","2022-06-09T19:26Z","2022-06-14T18:35Z",2.030,6.940,3.170,3.307,0.232,"OK",,"0000-0002-3309-2269",
"aa2783e9-bef6-44d7-a1c3-689e5959df82","D19","DEJU","DEJU_047","DEJU_047.basePlot.bgc","2022-06-06T22:00Z","2022-06-06T22:00Z","DEJU_047-O-23-20220606","A00000309693","DEJU_047-O-23-20220606-SM","NEON.DOC.014048vO","O","2022-06-09T19:26Z","2022-06-14T18:35Z",2.030,7.010,3.380,2.689,0.271,"OK",,"0000-0002-3309-2269",
"b168bae1-c2e8-472c-a001-4f0a63710e20","D19","DEJU","DEJU_047","DEJU_047.basePlot.bgc","2022-06-06T22:13Z","2022-06-06T22:13Z","DEJU_047-O-39-20220606","A00000309662","DEJU_047-O-39-20220606-SM","NEON.DOC.014048vO","O","2022-06-09T19:26Z","2022-06-14T18:35Z",2.040,7.000,4.670,0.886,0.530,"OK",,"0000-0002-3309-2269",
"7dc6ad1c-8bd4-463c-88cc-e0e9b06639e8","D19","DEJU","DEJU_045","DEJU_045.basePlot.bgc","2022-06-06T23:15Z","2022-06-06T23:15Z","DEJU_045-O-39-20220606","A00000309699","DEJU_045-O-39-20220606-SM","NEON.DOC.014048vO","O","2022-06-09T19:26Z","2022-06-14T18:35Z",2.020,7.090,5.090,0.651,0.606,"OK",,"0000-0002-3309-2269",
"e2ff80e8-8d23-4edc-a2c0-4c7d204889af","D19","DEJU","DEJU_045","DEJU_045.basePlot.bgc","2022-06-06T23:19Z","2022-06-06T23:19Z","DEJU_045-O-21-20220606","A00000309700","DEJU_045-O-21-20220606-SM","NEON.DOC.014048vO","O","2022-06-09T19:26Z","2022-06-14T18:35Z",2.060,7.120,5.140,0.643,0.609,"OK",,"0000-0002-3309-2269",
"c09d4800-ea75-4041-9e86-bbae79d336d8","D19","DEJU","DEJU_045","DEJU_045.basePlot.bgc","2022-06-06T23:34Z","2022-06-06T23:34Z","DEJU_045-O-23-20220606","A00000309698","DEJU_045-O-23-20220606-SM","NEON.DOC.014048vO","O","2022-06-09T19:26Z","2022-06-14T18:35Z",2.010,7.120,5.480,0.473,0.679,"OK",,"0000-0002-3309-2269",
"95935f2b-0b45-495e-b09d-2707b06d031b","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","2022-06-07T17:37Z","2022-06-07T17:37Z","DEJU_006-O-39-20220607","A00000309711","DEJU_006-O-39-20220607-SM","NEON.DOC.014048vO","O","2022-06-09T19:26Z","2022-06-14T18:35Z",2.080,7.070,5.410,0.498,0.667,"OK",,"0000-0002-3309-2269",
"18c30c95-5517-41ff-89ad-6e711d5cfe6e","D19","DEJU","DEJU_002","DEJU_002.basePlot.bgc","2022-06-07T18:06Z","2022-06-07T18:06Z","DEJU_002-O-23-20220607","A00000309715","DEJU_002-O-23-20220607-SM","NEON.DOC.014048vO","O","2022-06-09T19:26Z","2022-06-14T18:35Z",2.090,7.010,4.550,1.000,0.500,"OK",,"0000-0002-3309-2269",
"88f934aa-ecea-4b4c-bf71-756ded0520ad","D19","DEJU","DEJU_006","DEJU_006.basePlot.bgc","2022-06-07T18:17Z","2022-06-07T18:17Z","DEJU_006-O-21-20220607","A00000309712","DEJU_006-O-21-20220607-SM","NEON.DOC.014048vO","O","2022-06-09T19:26Z","2022-06-14T18:35Z",2.090,6.990,5.180,0.586,0.631,"OK",,"0000-0002-3309-2269",
"f06003a1-41b3-4140-9d37-eb7397844238","D19","DEJU","DEJU_002","DEJU_002.basePlot.bgc","2022-06-07T18:25Z","2022-06-07T18:25Z","DEJU_002-O-21-20220607","A00000309714","DEJU_002-O-21-20220607-SM","NEON.DOC.014048vO","O","2022-06-09T19:26Z","2022-06-14T18:35Z",1.990,7.000,4.810,0.777,0.563,"OK",,"0000-0002-3309-2269",
