uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,sampleID,sampleCode,cnSampleID,cnSampleCode,bgcArchiveID,bgcArchiveCode,bgcArchiveMass,toxicodendronPossible,sampleCondition,bgcRemarks,processedBy,bgcDataQF
"3411af1e-28af-442c-ac18-d3af1ac0ad40","D19","DEJU","DEJU_009","DEJU_009.basePlot.bgc","2023-06-28T19:34Z","2023-06-28T19:34Z","NEON.DOC.014048vO","M","2023-06-30T00:54Z","2023-07-04T22:30Z","DEJU_009-M-41-20230628","A00000309730","DEJU_009-M-41-20230628-CN","A00000428239","DEJU_009-M-41-20230628-BA","A00000304935",65.9,"N","OK",,"0009-0003-6809-0161",
"8b92a9d0-71dd-4977-854a-04c1e709a024","D19","DEJU","DEJU_009","DEJU_009.basePlot.bgc","2023-06-28T19:34Z","2023-06-28T19:34Z","NEON.DOC.014048vO","O","2023-06-30T01:12Z","2023-07-04T22:30Z","DEJU_009-O-41-20230628","A00000427671","DEJU_009-O-41-20230628-CN","A00000428243","DEJU_009-O-41-20230628-BA","A00000310134",24.0,"N","OK",,"0009-0003-6809-0161",
"7f7ca100-3204-4780-9ed9-5ce4b3adf436","D19","DEJU","DEJU_009","DEJU_009.basePlot.bgc","2023-06-28T20:37Z","2023-06-28T20:37Z","NEON.DOC.014048vO","M","2023-06-30T00:21Z","2023-07-04T22:30Z","DEJU_009-M-39-20230628","A00000309384","DEJU_009-M-39-20230628-CN","A00000428276","DEJU_009-M-39-20230628-BA","A00000349193",96.5,"N","OK",,"0009-0003-6809-0161",
"dcc707c0-36e0-4436-875b-867907ee734c","D19","DEJU","DEJU_009","DEJU_009.basePlot.bgc","2023-06-28T20:37Z","2023-06-28T20:37Z","NEON.DOC.014048vO","O","2023-06-30T00:51Z","2023-07-04T22:30Z","DEJU_009-O-39-20230628","A00000427670","DEJU_009-O-39-20230628-CN","A00000428231","DEJU_009-O-39-20230628-BA","A00000429461",18.9,"N","OK",,"0009-0003-6809-0161",
"73f9caf0-be33-42e2-b177-57f480dd20ca","D19","DEJU","DEJU_014","DEJU_014.basePlot.bgc","2023-06-28T20:43Z","2023-06-28T20:43Z","NEON.DOC.014048vO","O","2023-06-30T01:02Z","2023-07-04T22:30Z","DEJU_014-O-21-20230628","A00000427672","DEJU_014-O-21-20230628-CN","A00000428242","DEJU_014-O-21-20230628-BA","A00000349198",20.8,"N","OK",,"0009-0003-6809-0161",
"d2470a2e-95d2-4541-90d3-f1e07f915f40","D19","DEJU","DEJU_014","DEJU_014.basePlot.bgc","2023-06-28T20:43Z","2023-06-28T20:43Z","NEON.DOC.014048vO","M","2023-06-30T01:26Z","2023-07-04T22:30Z","DEJU_014-M-21-20230628","A00000309385","DEJU_014-M-21-20230628-CN","A00000428245","DEJU_014-M-21-20230628-BA","A00000349199",164.9,"N","OK",,"0009-0003-6809-0161",
"fb8f5187-0db5-4eb6-b8ad-d0e0719ece05","D19","DEJU","DEJU_014","DEJU_014.basePlot.bgc","2023-06-28T21:03Z","2023-06-28T21:03Z","NEON.DOC.014048vO","O","2023-06-30T00:35Z","2023-07-04T22:30Z","DEJU_014-O-39-20230628","A00000427674","DEJU_014-O-39-20230628-CN","A00000428274","DEJU_014-O-39-20230628-BA","A00000349191",15.9,"N","OK",,"0009-0003-6809-0161",
"fc4e39db-61c2-48e1-9cc6-24b1a243e581","D19","DEJU","DEJU_014","DEJU_014.basePlot.bgc","2023-06-28T21:03Z","2023-06-28T21:03Z","NEON.DOC.014048vO","M","2023-06-30T01:29Z","2023-07-04T22:30Z","DEJU_014-M-39-20230628","A00000309386","DEJU_014-M-39-20230628-CN","A00000428273","DEJU_014-M-39-20230628-BA","A00000308700",123.8,"N","OK",,"0009-0003-6809-0161",
"8e291dbe-9a54-4d9a-a77c-01d9ce6c21e4","D19","DEJU","DEJU_009","DEJU_009.basePlot.bgc","2023-06-28T21:15Z","2023-06-28T21:15Z","NEON.DOC.014048vO","M","2023-06-30T00:59Z","2023-07-04T22:30Z","DEJU_009-M-21-20230628","A00000309731","DEJU_009-M-21-20230628-CN","A00000428222","DEJU_009-M-21-20230628-BA","A00000429466",152.4,"N","OK",,"0009-0003-6809-0161",
"599e61b5-3b80-412b-94ad-f4902df1aa25","D19","DEJU","DEJU_009","DEJU_009.basePlot.bgc","2023-06-28T21:15Z","2023-06-28T21:15Z","NEON.DOC.014048vO","O","2023-06-30T00:36Z","2023-07-04T22:30Z","DEJU_009-O-21-20230628","A00000427669","DEJU_009-O-21-20230628-CN","A00000428260","DEJU_009-O-21-20230628-BA","A00000429457",35.9,"N","OK",,"0009-0003-6809-0161",
