uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF
"735300cd-ce25-45b5-9716-658ba2c2427a","D19","BONA","BONA_009","BONA_009.basePlot.bgc","2022-06-29T21:44Z","2022-06-29T21:44Z","2022-08-08","BONA_009-O-41-20220629","A00000309678","BONA_009-O-41-20220629-PH","NEON.DOC.014048vO","O",4.43,3.66,3.0,40.0,13.3,3.0,80.0,26.7,,"0000-0002-2117-4697",
"d7f46121-9669-4910-8d8a-243d26c52936","D19","BONA","BONA_009","BONA_009.basePlot.bgc","2022-06-29T22:04Z","2022-06-29T22:04Z","2022-08-08","BONA_009-O-23-20220629","A00000309680","BONA_009-O-23-20220629-PH","NEON.DOC.014048vO","O",4.13,3.37,3.0,40.0,13.2,3.0,80.0,26.5,,"0000-0002-2117-4697",
"323e8886-2ab5-448f-b579-900ca57ec356","D19","BONA","BONA_009","BONA_009.basePlot.bgc","2022-06-29T22:29Z","2022-06-29T22:29Z","2022-08-08","BONA_009-O-39-20220629","A00000309679","BONA_009-O-39-20220629-PH","NEON.DOC.014048vO","O",4.56,3.95,3.0,50.0,16.5,3.0,100.0,33.0,,"0000-0002-2117-4697",
"83d599a2-0f4d-4008-ae25-25fc5b2aac1e","D19","BONA","BONA_002","BONA_002.basePlot.bgc","2022-06-29T23:14Z","2022-06-29T23:14Z","2022-08-08","BONA_002-O-39-20220629","A00000309688","BONA_002-O-39-20220629-PH","NEON.DOC.014048vO","O",4.14,3.55,3.1,40.0,13.1,3.1,80.0,26.1,,"0000-0002-2117-4697",
"e52a5808-be1a-41f2-a223-8cd829b4bd63","D19","BONA","BONA_002","BONA_002.basePlot.bgc","2022-06-29T23:30Z","2022-06-29T23:30Z","2022-08-08","BONA_002-O-41-20220629","A00000309689","BONA_002-O-41-20220629-PH","NEON.DOC.014048vO","O",4.38,3.50,3.0,40.0,13.2,3.0,80.0,26.4,,"0000-0002-2117-4697",
"c0f9bba7-0f52-40a8-b336-280806a9ff88","D19","BONA","BONA_002","BONA_002.basePlot.bgc","2022-06-29T23:47Z","2022-06-29T23:47Z","2022-08-08","BONA_002-O-21-20220629","A00000309687","BONA_002-O-21-20220629-PH","NEON.DOC.014048vO","O",3.98,3.13,3.1,40.0,13.1,3.1,80.0,26.2,,"0000-0002-2117-4697",
