uid,domainID,siteID,extractionStartDate,extractionEndDate,kclReferenceID,kclBlank1ID,kclBlank1Code,kclBlank2ID,kclBlank2Code,kclBlank3ID,kclBlank3Code,remarks,dataQF
"261d0a57-bc87-446e-9d49-5185a1d1324f","D19","DEJU","2023-07-26","2023-07-26","DEJU-20230726-BREF2","DEJU-20230726-BREF2-A","B00000173337","DEJU-20230726-BREF2-B","B00000173338","DEJU-20230726-BREF2-C","B00000173336",,
"b33d7cc1-2dd8-4a30-8101-da7fa0bda4a2","D19","DEJU","2023-07-27","2023-07-27","DEJU-20230727-BREF2","DEJU-20230727-BREF2-A","B00000170964","DEJU-20230727-BREF2-B","B00000170963","DEJU-20230727-BREF2-C","B00000170965",,
"91d9bcd3-0b9a-4d12-9960-378b08adfc74","D19","DEJU","2023-07-28","2023-07-28","DEJU-20230728-BREF2","DEJU-20230728-BREF2-A","B00000147179","DEJU-20230728-BREF2-B","B00000147132","DEJU-20230728-BREF2-C","B00000147152",,
