uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF
"8ce67d97-7979-45ca-987e-194fdb779f23","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","2015-08-25T22:00Z","2015-08-25T22:00Z",,"HEAL_048-O-36-2.5-20150825",,"HEAL_048-O-36-2.5-20150825-PH","NEON.DOC.014048vF","O",5.24,3.52,2.5,40.0,16.0,2.5,40.0,16.0,"QC0. Used 40mL of liquid for both pH tests",,"legacyData"
"b3ecb42a-3c11-4dce-931b-3b683223d16a","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","2015-08-25T22:30Z","2015-08-25T22:30Z",,"HEAL_048-O-18-34.5-20150825",,"HEAL_048-O-18-34.5-20150825-PH","NEON.DOC.014048vF","O",4.87,3.53,2.5,40.0,16.0,2.5,40.0,16.0,"Used 40mL of liquid for both pH tests",,"legacyData"
"3f6414b7-b5c3-405d-bd78-a062ee482a3c","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","2015-08-25T22:45Z","2015-08-25T22:45Z",,"HEAL_048-O-37-37-20150825",,"HEAL_048-O-37-37-20150825-PH","NEON.DOC.014048vF","O",5.20,3.49,2.5,40.0,16.0,2.5,40.0,16.0,"Used 40mL of liquid for both pH tests",,"legacyData"
"78231aa5-3194-4472-b665-b5a2a67fcc7f","D19","HEAL","HEAL_045","HEAL_045.basePlot.bgc","2015-08-26T01:30Z","2015-08-26T01:30Z",,"HEAL_045-O-6.5-19.5-20150825",,"HEAL_045-O-6.5-19.5-20150825-PH","NEON.DOC.014048vF","O",5.02,3.41,2.5,40.0,16.0,2.5,40.0,16.0,"Used 40mL of liquid for both pH tests",,"legacyData"
"ef442770-9932-4281-9321-5ea26018742c","D19","HEAL","HEAL_045","HEAL_045.basePlot.bgc","2015-08-26T01:45Z","2015-08-26T01:45Z",,"HEAL_045-O-27.5-8-20150825",,"HEAL_045-O-27.5-8-20150825-PH","NEON.DOC.014048vF","O",5.11,3.41,2.5,40.0,16.0,2.5,40.0,16.0,"Used 40mL of liquid for both pH tests",,"legacyData"
"fc164ff3-0545-4fdf-9012-db39c86e3828","D19","HEAL","HEAL_045","HEAL_045.basePlot.bgc","2015-08-26T02:00Z","2015-08-26T02:00Z",,"HEAL_045-O-30-35.5-20150825",,"HEAL_045-O-30-35.5-20150825-PH","NEON.DOC.014048vF","O",5.46,3.51,2.5,40.0,16.0,2.5,40.0,16.0,"Used 40mL of liquid for both pH tests",,"legacyData"
"77fd4b62-fe4c-488f-b80b-16c16f08c36d","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2015-08-26T19:35Z","2015-08-26T19:35Z",,"HEAL_047-O-38-24.5-20150826",,"HEAL_047-O-38-24.5-20150826-PH","NEON.DOC.014048vF","O",5.73,4.36,2.5,40.0,16.0,2.5,40.0,16.0,"Used 40mL of liquid for both pH tests",,"legacyData"
"d5441f68-4636-4395-8dd2-abf9b8edd78d","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2015-08-26T20:00Z","2015-08-26T20:00Z",,"HEAL_047-O-32-12.5-20150826",,"HEAL_047-O-32-12.5-20150826-PH","NEON.DOC.014048vF","O",5.65,3.94,2.5,40.0,16.0,2.5,40.0,16.0,"Used 40mL of liquid for both pH tests",,"legacyData"
"e29b8cbd-b7c0-47d0-a5c5-72939851e35b","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2015-08-26T20:15Z","2015-08-26T20:15Z",,"HEAL_047-M-7-7.5-20150826",,"HEAL_047-M-7-7.5-20150826-PH","NEON.DOC.014048vF","M",,4.31,0.0,20.0,2000.0,10.0,20.0,2.0,"Used 20mL of liquid for the Calcium Chloride test. Did not have enough leftover mineral horizon to conduct the pH in water test.",,"legacyData"
"a7ad6ac2-fd7f-4bb9-9837-67599e9cc6bd","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2015-08-26T20:15Z","2015-08-26T20:15Z",,"HEAL_047-O-7-7.5-20150826",,"HEAL_047-O-7-7.5-20150826-PH","NEON.DOC.014048vF","O",5.39,3.63,2.5,40.0,16.0,2.5,40.0,16.0,"Used 40mL of liquid for both pH tests",,"legacyData"
"42ac0f5d-55c6-4ca6-957e-0d3b27031e76","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","2015-08-27T19:00Z","2015-08-27T19:00Z",,"HEAL_046-O-31-24-20150827",,"HEAL_046-O-31-24-20150827-PH","NEON.DOC.014048vF","O",4.45,3.09,2.5,100.0,40.0,2.5,100.0,40.0,"QC0. Used 100mL of liquid for both pH tests due to the soils large volume. This organic horizon sample was very airy and mostly comprised of decomposing peat moss.",,"legacyData"
"d010a91e-11de-4e26-b1fe-745a08aeb892","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","2015-08-27T19:26Z","2015-08-27T19:26Z",,"HEAL_046-M-30.5-13.5-20150827",,"HEAL_046-M-30.5-13.5-20150827-PH","NEON.DOC.014048vF","M",6.43,5.38,10.0,20.0,2.0,10.0,20.0,2.0,"Used 20mL of liquid for both pH tests",,"legacyData"
"352d36de-8fa0-4607-b622-a978469996ce","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","2015-08-27T19:26Z","2015-08-27T19:26Z",,"HEAL_046-O-30.5-13.5-20150827",,"HEAL_046-O-30.5-13.5-20150827-PH","NEON.DOC.014048vF","O",4.28,3.32,2.5,40.0,16.0,2.5,40.0,16.0,"Used 40mL of liquid for both pH tests.",,"legacyData"
