uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF
"6e8af11c-c79a-4c6c-a223-c18c16fb21a2","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","2015-08-25T22:00Z","2015-08-25T22:00Z","HEAL_048-O-36-2.5-20150825",,"HEAL_048-O-36-2.5-20150825-SM","NEON.DOC.014048vF","O","2015-08-31T19:35Z","2015-09-02T19:45Z",8.790,13.790,9.700,4.495,0.182,,"QC0",,"legacyData"
"1fed70b3-2d6d-48de-b18b-a4168f986652","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","2015-08-25T22:30Z","2015-08-25T22:30Z","HEAL_048-O-18-34.5-20150825",,"HEAL_048-O-18-34.5-20150825-SM","NEON.DOC.014048vF","O","2015-08-31T19:35Z","2015-09-02T19:45Z",8.810,13.800,9.140,14.121,0.066,,,,"legacyData"
"b10aab59-e20f-4bcf-a8cd-585bcd5414f1","D19","HEAL","HEAL_048","HEAL_048.basePlot.bgc","2015-08-25T22:45Z","2015-08-25T22:45Z","HEAL_048-O-37-37-20150825",,"HEAL_048-O-37-37-20150825-SM","NEON.DOC.014048vF","O","2015-08-31T19:35Z","2015-09-02T19:45Z",8.750,13.750,9.550,5.250,0.160,,,,"legacyData"
"04caf32a-aaaf-4673-8c16-04cd47ff8ed7","D19","HEAL","HEAL_045","HEAL_045.basePlot.bgc","2015-08-26T01:30Z","2015-08-26T01:30Z","HEAL_045-O-6.5-19.5-20150825",,"HEAL_045-O-6.5-19.5-20150825-SM","NEON.DOC.014048vF","O","2015-08-31T19:35Z","2015-09-02T19:45Z",8.740,13.980,9.310,8.193,0.109,,,,"legacyData"
"163860b1-53d5-46b3-8fea-0b8a2c99eca7","D19","HEAL","HEAL_045","HEAL_045.basePlot.bgc","2015-08-26T01:45Z","2015-08-26T01:45Z","HEAL_045-O-27.5-8-20150825",,"HEAL_045-O-27.5-8-20150825-SM","NEON.DOC.014048vF","O","2015-08-31T19:35Z","2015-09-02T19:45Z",8.730,13.940,9.550,5.354,0.157,,,,"legacyData"
"ac0c7bae-4e8e-4285-a1af-d497189475d4","D19","HEAL","HEAL_045","HEAL_045.basePlot.bgc","2015-08-26T02:00Z","2015-08-26T02:00Z","HEAL_045-O-30-35.5-20150825",,"HEAL_045-O-30-35.5-20150825-SM","NEON.DOC.014048vF","O","2015-08-31T19:35Z","2015-09-02T19:45Z",8.770,13.890,9.270,9.240,0.098,,,,"legacyData"
"a73d66d0-b6ae-44bc-a6db-f693c750aa04","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2015-08-26T19:35Z","2015-08-26T19:35Z","HEAL_047-O-38-24.5-20150826",,"HEAL_047-O-38-24.5-20150826-SM","NEON.DOC.014048vF","O","2015-08-31T19:35Z","2015-09-02T19:45Z",8.780,13.900,9.170,12.128,0.076,,,,"legacyData"
"26224b6c-4668-49eb-990c-1cb901ab1ca8","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2015-08-26T20:00Z","2015-08-26T20:00Z","HEAL_047-O-32-12.5-20150826",,"HEAL_047-O-32-12.5-20150826-SM","NEON.DOC.014048vF","O","2015-08-31T19:35Z","2015-09-02T19:45Z",8.660,13.870,9.980,2.947,0.253,,,,"legacyData"
"2d37fb25-52c7-4dd8-82ff-87354888d782","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2015-08-26T20:15Z","2015-08-26T20:15Z","HEAL_047-O-7-7.5-20150826",,"HEAL_047-O-7-7.5-20150826-SM","NEON.DOC.014048vF","O","2015-08-31T19:35Z","2015-09-02T19:45Z",8.700,13.750,9.820,3.509,0.222,,,,"legacyData"
"973379dd-07a6-4a7a-affa-b031116639bc","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2015-08-26T20:15Z","2015-08-26T20:15Z","HEAL_047-M-7-7.5-20150826",,"HEAL_047-M-7-7.5-20150826-SM","NEON.DOC.014048vF","M","2015-08-31T19:35Z","2015-09-02T19:45Z",8.720,18.990,16.890,0.257,0.796,,,,"legacyData"
"247e6ec1-0212-42e7-a23b-cdbed8e6569f","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","2015-08-27T19:00Z","2015-08-27T19:00Z","HEAL_046-O-31-24-20150827",,"HEAL_046-O-31-24-20150827-SM","NEON.DOC.014048vF","O","2015-08-31T21:10Z","2015-09-02T21:10Z",8.680,13.910,9.330,7.046,0.124,,"QC0",,"legacyData"
