uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF
"1e512b94-1f9e-4ccd-b55e-45ffeecceb1b","TOOL_042.basePlot.bgc","D18","TOOL","TOOL_042","2017-07-19T21:52Z","2017-08-16T17:37Z","TOOL_042-O-22-9.5-20170816",,"TOOL_042-O-22-9.5-20170816-KCL",,"ok","2018-03-20",0.746,1,"OK",,"2018-03-23",0.126,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"28f6b702-adf3-4bdb-9b5e-0a148f34224d","TOOL_042.basePlot.bgc","D18","TOOL","TOOL_042","2017-07-19T22:06Z","2017-08-16T17:18Z","TOOL_042-M-22-9.5-20170816",,"TOOL_042-M-22-9.5-20170816-KCL",,"ok","2018-03-20",1.030,1,"OK",,"2018-03-23",0.080,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"9b857b0c-afa8-43b7-ab00-b03a912f56d7","TOOL_044.basePlot.bgc","D18","TOOL","TOOL_044","2017-07-19T22:24Z","2017-08-17T07:53Z","TOOL_044-O-1.5-28.5-20170816",,"TOOL_044-O-1.5-28.5-20170816-KCL",,"ok","2018-03-20",1.516,1,"OK",,"2018-03-23",0.105,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"1a31ba10-ac47-445a-baaf-3e13f674ef7a","TOOL_042.basePlot.bgc","D18","TOOL","TOOL_042","2017-07-20T00:49Z","2017-08-17T05:02Z","TOOL_042-O-20-33-20170816",,"TOOL_042-O-20-33-20170816-KCL",,"ok","2018-03-20",0.712,1,"OK",,"2018-03-23",0.154,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"35a3aa1f-3418-4759-9d25-e5b822c38517","TOOL_044.basePlot.bgc","D18","TOOL","TOOL_044","2017-07-20T00:56Z","2017-08-16T20:01Z","TOOL_044-O-35-32-20170816",,"TOOL_044-O-35-32-20170816-KCL",,"ok","2018-03-20",0.639,1,"OK",,"2018-03-23",0.211,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"0dc1e26b-bf9e-4776-beb9-e168f2a4c22e","TOOL_044.basePlot.bgc","D18","TOOL","TOOL_044","2017-07-20T01:11Z","2017-08-16T20:05Z","TOOL_044-M-35-32-20170816",,"TOOL_044-M-35-32-20170816-KCL",,"ok","2018-03-20",0.902,1,"OK",,"2018-03-23",0.083,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"23397f65-d9a0-478a-b82a-579245db45cc","TOOL_042.basePlot.bgc","D18","TOOL","TOOL_042","2017-07-20T01:13Z","2017-08-17T05:13Z","TOOL_042-M-20-33-20170816",,"TOOL_042-M-20-33-20170816-KCL",,"ok","2018-03-20",1.161,1,"OK",,"2018-03-26",0.070,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"c7a0e26a-94b2-47f6-9306-a04de393edfe","TOOL_044.basePlot.bgc","D18","TOOL","TOOL_044","2017-07-20T02:14Z","2017-08-16T20:18Z","TOOL_044-O-35-14.5-20170816",,"TOOL_044-O-35-14.5-20170816-KCL",,"ok","2018-03-20",0.923,1,"OK",,"2018-03-23",0.110,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"f5969c38-eca4-4b9c-842b-e15c61819fea","TOOL_044.basePlot.bgc","D18","TOOL","TOOL_044","2017-07-20T02:33Z","2017-08-16T20:17Z","TOOL_044-M-35-14.5-20170816",,"TOOL_044-M-35-14.5-20170816-KCL",,"ok","2018-03-20",0.608,1,"OK",,"2018-03-23",0.060,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
"98d8a095-c4a4-4748-8776-13df116c0fc5","TOOL_005.basePlot.bgc","D18","TOOL","TOOL_005","2017-07-21T18:10Z","2017-08-18T20:10Z","TOOL_005-O-16.5-0-20170818",,"TOOL_005-O-16.5-0-20170818-KCL",,"ok","2018-03-20",1.330,1,"OK",,"2018-03-26",0.187,1,"OK",,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","deprecatedMethod|alaskaDeprecatedMethod"
