uid,domainID,siteID,extractionStartDate,extractionEndDate,kclReferenceID,kclBlank1ID,kclBlank1Code,kclBlank2ID,kclBlank2Code,kclBlank3ID,kclBlank3Code,remarks,dataQF
"0314edd3-acd3-44ea-b8f0-0cd79741939d","D18","TOOL","2022-07-18","2022-07-18","TOOL-20220718-BREF1","TOOL-20220718-BREF1-A","B00000047866","TOOL-20220718-BREF1-B","B00000047862","TOOL-20220718-BREF1-C","B00000047863",,
"8b8b8a10-a3ed-4494-a8f0-bf283859ce25","D18","TOOL","2022-07-20","2022-07-20","TOOL-20220720-BREF1","TOOL-20220720-BREF1-A","B00000047861","TOOL-20220720-BREF1-B","B00000047865","TOOL-20220720-BREF1-C","B00000047864",,
