uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,co2Trapped,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"f73b104c-c338-468e-8139-dfaeb811b449","2022-11-01","TOOL_005.basePlot.bgc","D18","TOOL","TOOL_005","distributed","2022-07-17T19:28Z","2022-07-17T19:28Z","TOOL_005-O-41-20220717","A00000309449","TOOL_005-O-41-20220717-CN","A00000310227","soil","N","N",1.8,-26.7,1.58,38.71,24.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"2b70723c-626b-47d6-a1e3-4ab8d84b5b33","2022-11-01","TOOL_005.basePlot.bgc","D18","TOOL","TOOL_005","distributed","2022-07-17T20:10Z","2022-07-17T20:10Z","TOOL_005-O-23-20220717","A00000309450","TOOL_005-O-23-20220717-CN","A00000310284","soil","N","N",0.9,-28.2,1.08,41.51,38.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"579795f9-1f5f-448c-9a99-e91a48b78cd1","2022-10-21","TOOL_005.basePlot.bgc","D18","TOOL","TOOL_005","distributed","2022-07-17T20:10Z","2022-07-17T20:10Z","TOOL_005-M-23-20220717","A00000309472","TOOL_005-M-23-20220717-CN","A00000307979","soil","N","N",5.0,-26.4,0.23,4.37,19.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"d9b35373-d356-4769-a111-d1a9e2da9453","2022-11-01","TOOL_005.basePlot.bgc","D18","TOOL","TOOL_005","distributed","2022-07-17T20:38Z","2022-07-17T20:38Z","TOOL_005-O-21-20220717","A00000309451","TOOL_005-O-21-20220717-CN","A00000310210","soil","N","N",1.0,-27.2,0.68,20.79,30.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"d8feb9da-4fa5-4b69-be46-89c85c835c99","2022-10-21","TOOL_005.basePlot.bgc","D18","TOOL","TOOL_005","distributed","2022-07-17T20:56Z","2022-07-17T20:56Z","TOOL_005-M-21-20220717","A00000309473","TOOL_005-M-21-20220717-CN","A00000310211","soil","N","N",3.6,-27.4,0.16,3.83,23.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"e99f0a8c-3e6b-415d-a131-6583f503a2c5","2022-11-01","TOOL_043.basePlot.bgc","D18","TOOL","TOOL_043","tower","2022-07-17T23:26Z","2022-07-17T23:26Z","TOOL_043-O-23-20220717","A00000309438","TOOL_043-O-23-20220717-CN","A00000310243","soil","N","N",1.9,-26.1,1.71,38.28,22.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"096688b2-832c-4e81-a6d3-00e7b91857ac","2022-10-27","TOOL_043.basePlot.bgc","D18","TOOL","TOOL_043","tower","2022-07-17T23:26Z","2022-07-17T23:26Z","TOOL_043-M-23-20220717","A00000309748","TOOL_043-M-23-20220717-CN","A00000307975","soil","N","N",1.8,-26.9,0.43,9.14,21.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"f953a787-849a-4dc5-807d-03b2311af1dc","2022-10-27","TOOL_043.basePlot.bgc","D18","TOOL","TOOL_043","tower","2022-07-18T00:15Z","2022-07-18T00:15Z","TOOL_043-M-39-20220717","A00000309747","TOOL_043-M-39-20220717-CN","A00000307973","soil","N","N",1.7,-26.9,0.17,3.74,22.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"500f707c-411f-4872-8f5b-8cea896ca07e","2022-10-27","TOOL_041.basePlot.bgc","D18","TOOL","TOOL_041","tower","2022-07-18T00:15Z","2022-07-18T00:15Z","TOOL_041-M-41-20220717","A00000309753","TOOL_041-M-41-20220717-CN","A00000310247","soil","N","N",4.0,-25.5,0.41,10.14,24.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"9b04ba06-5293-44e1-ad60-329b69216e8f","2022-11-01","TOOL_043.basePlot.bgc","D18","TOOL","TOOL_043","tower","2022-07-18T00:15Z","2022-07-18T00:15Z","TOOL_043-O-39-20220717","A00000309437","TOOL_043-O-39-20220717-CN","A00000310258","soil","N","N",1.0,-26.9,0.60,19.49,32.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
