uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF
"eea6076e-5246-4099-b641-31b2c48dee5a","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2022-06-20T22:07Z","2022-06-20T22:07Z","2022-08-01","HEAL_047-O-23-20220620","A00000309344","HEAL_047-O-23-20220620-PH","NEON.DOC.014048vO","O",4.27,3.93,5.0,80.0,16.0,5.0,160.0,32.0,,"0000-0002-3309-2269",
"f2281450-9bb7-4f4b-9e4e-21f1ba40767e","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2022-06-20T22:34Z","2022-06-20T22:34Z","2022-08-01","HEAL_047-O-41-20220620","A00000309346","HEAL_047-O-41-20220620-PH","NEON.DOC.014048vO","O",4.10,3.34,5.0,60.0,12.0,5.0,120.0,23.9,,"0000-0002-3309-2269",
"331535aa-45a3-40f4-a6c1-b84cf337ac26","D19","HEAL","HEAL_047","HEAL_047.basePlot.bgc","2022-06-20T23:01Z","2022-06-20T23:01Z","2022-08-01","HEAL_047-O-39-20220620","A00000309345","HEAL_047-O-39-20220620-PH","NEON.DOC.014048vO","O",4.04,3.33,5.1,70.0,13.9,5.1,140.0,27.7,,"0000-0002-3309-2269",
"bf324c4b-4ac1-454f-84f9-6a74bf0cdc1f","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","2022-06-20T23:44Z","2022-06-20T23:44Z","2022-08-01","HEAL_046-O-41-20220620","A00000309347","HEAL_046-O-41-20220620-PH","NEON.DOC.014048vO","O",5.25,4.60,1.5,40.0,26.8,1.5,80.0,53.7,,"0000-0002-3309-2269",
"cb2d217f-dbfb-415f-849e-7991be9fbf55","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","2022-06-20T23:57Z","2022-06-20T23:57Z","2022-08-01","HEAL_046-O-39-20220620","A00000309348","HEAL_046-O-39-20220620-PH","NEON.DOC.014048vO","O",4.14,3.33,5.1,60.0,11.9,5.1,120.0,23.8,,"0000-0002-3309-2269",
"f9aaf365-fbfa-436f-abab-6b737b0abb32","D19","HEAL","HEAL_046","HEAL_046.basePlot.bgc","2022-06-21T00:17Z","2022-06-21T00:17Z","2022-08-01","HEAL_046-O-21-20220620","A00000309349","HEAL_046-O-21-20220620-PH","NEON.DOC.014048vO","O",3.90,2.99,5.0,60.0,11.9,5.0,120.0,23.9,,"0000-0002-3309-2269",
"ba101e04-77dd-4718-8703-fc8dd3a9b7c5","D19","HEAL","HEAL_004","HEAL_004.basePlot.bgc","2022-06-21T18:25Z","2022-06-21T18:25Z","2022-08-01","HEAL_004-O-39-20220621","A00000309367","HEAL_004-O-39-20220621-PH","NEON.DOC.014048vO","O",5.73,4.89,5.1,60.0,11.8,5.1,120.0,23.6,,"0000-0002-3309-2269",
"111c0a5e-963a-41e2-9bce-0f8a6f675f68","D19","HEAL","HEAL_004","HEAL_004.basePlot.bgc","2022-06-21T18:41Z","2022-06-21T18:41Z","2022-08-01","HEAL_004-O-41-20220621","A00000309366","HEAL_004-O-41-20220621-PH","NEON.DOC.014048vO","O",4.57,3.55,5.0,80.0,16.0,5.0,160.0,32.1,,"0000-0002-3309-2269",
"4136ccec-a916-4f2c-afdd-3b0872c4d9e4","D19","HEAL","HEAL_005","HEAL_005.basePlot.bgc","2022-06-21T18:48Z","2022-06-21T18:48Z","2022-08-01","HEAL_005-O-39-20220621","A00000309363","HEAL_005-O-39-20220621-PH","NEON.DOC.014048vO","O",5.31,4.33,5.0,80.0,16.0,5.0,160.0,31.9,,"0000-0002-3309-2269",
"93e343ac-fd4c-4fc0-ab53-6ec1006a991c","D19","HEAL","HEAL_004","HEAL_004.basePlot.bgc","2022-06-21T18:53Z","2022-06-21T18:53Z","2022-08-01","HEAL_004-O-23-20220621","A00000309368","HEAL_004-O-23-20220621-PH","NEON.DOC.014048vO","O",4.86,4.05,5.0,60.0,12.0,5.0,120.0,23.9,,"0000-0002-3309-2269",
