uid,domainID,siteID,extractionStartDate,extractionEndDate,kclReferenceID,kclBlank1ID,kclBlank1Code,kclBlank2ID,kclBlank2Code,kclBlank3ID,kclBlank3Code,remarks,dataQF
"5bf1aee6-6f76-488b-a4b1-90dd95d5deba","D19","HEAL","2021-07-13","2021-07-13","HEAL-20210713-BREF1","HEAL-20210713-BREF1-A","B00000127624","HEAL-20210713-BREF1-B","B00000127625","HEAL-20210713-BREF1-C","B00000127626",,
"04da7715-6a8c-48b9-b432-d62591d8e791","D19","HEAL","2021-07-14","2021-07-14","HEAL-20210714-BREF1","HEAL-20210714-BREF1-A","B00000127633","HEAL-20210714-BREF1-B","B00000127634","HEAL-20210714-BREF1-C","B00000127635",,
"a5c55786-841d-477a-b793-4fd69cce1cd1","D19","HEAL","2021-07-15","2021-07-15","HEAL-20210715-BREF1","HEAL-20210715-BREF1-A","B00000127630","HEAL-20210715-BREF1-B","B00000127631","HEAL-20210715-BREF1-C","B00000127632",,
